MCC_MNC,MCC,MNC,CountryName,Network
41280,412,80,Afghanistan,Afghan Telecom Corp. (AT)
41288,412,88,Afghanistan,Afghan Telecom Corp. (AT)
4121,412,1,Afghanistan,Afghan Wireless Communication Company
41250,412,50,Afghanistan,Etisalat Afghanistan
41240,412,40,Afghanistan,MTN Group
41220,412,20,Afghanistan,Telecom Development Company Afghanistan Ltd.
41255,412,55,Afghanistan,WASEL Afghanistan
4123,412,3,Afghanistan,WaselTelecom (WT)
2761,276,1,Albania,Albanian Mobile Communications
2763,276,3,Albania,Eagle Mobile
2764,276,4,Albania,Plus Communication
2762,276,2,Albania,Vodafone Albania
6031,603,1,Algeria,ATM Mobilis
6032,603,2,Algeria,Orascom Telecom Algerie Spa
6033,603,3,Algeria,Wataniya Telecom Algerie
54411,544,11,American Samoa (US),Bluesky
2133,213,3,Andorra,Servei De Tele. DAndorra
6314,631,4,Angola,MOVICEL Telecommunications S.A.
6312,631,2,Angola,UNITEL S.a.r.l.
365840,365,840,Anguilla,Cable & Wireless
36510,365,10,Anguilla,Weblinks Limited
34430,344,30,Antigua and Barbuda,Antigua Public Utilities Authority
34450,344,50,Antigua and Barbuda,Antigua Wireless Ventures Limited
344920,344,920,Antigua and Barbuda,Cable & Wireless Caribbean Cellular (Antigua) Limited
344930,344,930,Antigua and Barbuda,DigiCel/Cing. Wireless
722310,722,310,Argentine Republic,AMX Argentina S.A
722315,722,315,Argentine Republic,AMX Argentina S.A.
722320,722,320,Argentine Republic,AMX Argentina S.A.
722330,722,330,Argentine Republic,AMX Argentina S.A.
722350,722,350,Argentine Republic,Hutchison Telecommunications Argentina S.A.
72220,722,20,Argentine Republic,NII Holdings
7222,722,2,Argentine Republic,Nll Holdings
72240,722,40,Argentine Republic,TE.SA.M Argentina S.A.
722340,722,340,Argentine Republic,Telecom Personal S.A.
722341,722,341,Argentine Republic,Telecom Personal S.A.
72234,722,34,Argentine Republic,Telecom Personal S.A.
72270,722,70,Argentine Republic,Telefónica Móviles Argentina S.A.
72210,722,10,Argentine Republic,Telefónica Móviles Argentina S.A.
7227,722,7,Argentine Republic,Telefonica Móviles Argentina SA
2831,283,1,Armenia,ArmenTel
2835,283,5,Armenia,K Telecom CJSC
2834,283,4,Armenia,Karabakh Telecom
28310,283,10,Armenia,Orange S.A.
36320,363,20,Aruba (Netherlands),Digicel
3632,363,2,Aruba (Netherlands),Digicel Aruba
3631,363,1,Aruba (Netherlands),Servicio di Telecomunicacion di Aruba
50515,505,15,Australia,3GIS
50524,505,24,Australia,Advance Communications Technologies Pty. Ltd.
5059,505,9,Australia,Airnet
50523,505,23,Australia,Challenge Networks Pty. Ltd.
5054,505,4,Australia,Department of Defence
50526,505,26,Australia,Dialogue Communications Pty. Ltd.
50588,505,88,Australia,Localstar Holding Pty. Ltd.
50519,505,19,Australia,Lycamobile Pty Ltd
50562,505,62,Australia,National Broadband Network
50568,505,68,Australia,National Broadband Network
50527,505,27,Australia,Nexium Telecommunications
50510,505,10,Australia,Norfolk Telecom
50599,505,99,Australia,One.Tel
5058,505,8,Australia,One.Tel Limited
5055,505,5,Australia,Ozitel
50518,505,18,Australia,Pactel International Pty Ltd
50513,505,13,Australia,Rail Corporation New South Wales
5052,505,2,Australia,Singtel Optus Proprietary Limited
50590,505,90,Australia,Singtel Optus Proprietary Limited
50514,505,14,Australia,Telecom New Zealand
5051,505,1,Australia,Telstra Corporation Limited
50571,505,71,Australia,Telstra Corporation Limited
50572,505,72,Australia,Telstra Corporation Limited
50511,505,11,Australia,Telstra Corporation Ltd.
50521,505,21,Australia,TPG Telecom Limited
50516,505,16,Australia,Victorian Rail Track
5057,505,7,Australia,Vodafone
50512,505,12,Australia,Vodafone Hutchison Australia Proprietary Limited
5053,505,3,Australia,Vodafone Hutchison Australia Proprietary Limited
5056,505,6,Australia,Vodafone Hutchison Australia Proprietary Limited
